20210126,福田区,沙尾,绿景社区大两房，看花园看海景，安静舒适,910万,低楼层                                    (共33层)                                                                      | 2003年建 |                                3室1厅 | 81.93平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/9358689c-dae6-4e8a-ae96-2e4cfa65ce9d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,沙尾,绿景大社区 安静 看园景 东南向  采光通风效果好,930万,低楼层                                    (共33层)                                                                      | 2003年建 |                                2室2厅 | 81.82平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/91922616-46f1-4890-9308-0e5efd49db07_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,沙尾,满五唯一  金地工业区ji u 改 九年制 ming xiao,800万,低楼层                                    (共33层)                                                                      | 2004年建 |                                2室1厅 | 66平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/0efe7f28-facf-405d-994f-6e1546af5898_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,沙尾,满五年唯一，大金沙改造范围区，金地工业区已拆。新上,760万,低楼层                                    (共33层)                                                                      | 2004年建 |                                2室2厅 | 66平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/3394164a-17e4-4d22-a726-392f124c2731_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,沙尾,大金沙金地集团，标准朝南2房户型，户型好，,800万,低楼层                                    (共33层)                                                                      | 2010年建 |                                2室1厅 | 71.15平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-eb22d0ec-1bad-4049-b82f-f03aa55c20f7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,沙尾,金地海景花园通透三房，户型方正，低楼层，业主诚心卖,1020万,低楼层                                    (共6层)                                                                      | 1997年建 |                                3室2厅 | 126.46平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/647b6d00-5f43-4743-887d-f8c11ec1ca1d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,沙尾,满五年，小户型总价低，业主诚心卖必看好房,296万,中楼层                                    (共8层)                                                                      | 1998年建 |                                1室0厅 | 32.69平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/7c8eea74-54ec-4469-9aca-bfd3db214855_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,沙尾,福田红树林公园旁，安静大四房，业主诚心出售,1100万,中楼层                                    (共20层)                                                                      | 2001年建 |                                4室2厅 | 136.51平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_1ln0aAMuM_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,沙尾,绿景蓝湾半岛 3室1厅 东南,1080万,中楼层                                    (共33层)                                                                      | 2003年建 |                                3室1厅 | 90.09平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/673e73de-5b83-4d02-833c-eef1a32e8b75_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,沙尾,此房满5年唯一，户型方正，小区车位充足，环境好。,1180万,低楼层                                    (共16层)                                                                      | 2002年建 |                                4室2厅 | 117.3平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/99fe15e7-f99f-4589-aa8a-b2edc7df842d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,沙尾,好景豪园  安静 小高层带电梯 双阳台 采光好 地段好,1200万,中楼层                                    (共12层)                                                                      | 1999年建 |                                4室2厅 | 136.52平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/757ed89c-69b4-40e1-9216-71cc68fa16dc_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
