20210126,福田区,莲花,楼栋在小区中间位置，通透性好，业主诚心出售。,909万,低楼层                                    (共27层)                                                                      | 2002年建 |                                3室2厅 | 90.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/5a8e253d-4e7a-4177-b11e-e4d5f68876f6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,小高层带电梯正规四房 通透看双公园景观，无遮挡必看好房,1320万,高楼层                                    (共10层)                                                                      | 2000年建 |                                4室2厅 | 137.28平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/7070627c-c052-4526-b3cd-6405372236dc_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,13年社区  少有放卖大平层   10号线冬瓜岭 临深业上城,1599万,中楼层                                    (共20层)                                                                      | 2013年建 |                                4室2厅 | 166.93平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/9a0cfa1b-1eb3-4495-8a58-756a7081d2ba_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,好楼层 好视野 好装修  好房子,3100万,中楼层                                    (共49层)                                                                      | 2014年建 |                                3室1厅 | 228.29平米                                  | 东 南,http://ke-image.ljcdn.com/440300-inspection/pc1_DDulUOqUI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,彩田村前排看莲花山 采光通风好 方正满五年,930万,低楼层                                    (共27层)                                                                      | 2002年建 |                                3室1厅 | 80.36平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/2bde2e1f-ecbb-4e34-ba0c-aa35e73a2adb_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,莲花山脚 温馨精装小户型 低价出售必看好房,376万,低楼层                                    (共33层)                                                                      | 2004年建 |                                1室1厅 | 38平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/6f624b58-2f67-4d48-9f60-5c13f5f95b36_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,红本满五唯一，税费少，高楼层，安静视野好,488万,高楼层                                    (共34层)                                                                      | 2001年建 |                                1室1厅 | 47.02平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/44ed46fc-2aa8-42b3-aa6e-9f163553024f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,五年难见到好房税费少交易安全。,1080万,中楼层                                    (共27层)                                                                      | 2002年建 |                                3室2厅 | 90.38平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/ff2cf9ec-d2bb-45f7-8277-a2e35ba662d0_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,莲花北村   电梯三房   红本满五   家庭唯一,850万,高楼层                                    (共25层)                                                                      | 1995年建 |                                3室2厅 | 103.6平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/ed0368e6-b083-4c67-8063-6f9eb1e1e6ac_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,满5年唯一 视野好 采光好 南北通，通风好 户型方正,1120万,中楼层                                    (共27层)                                                                      | 2002年建 |                                3室2厅 | 90.24平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_mlmNtvuo1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,深业上城 1室1厅 南,1300万,中楼层                                    (共62层)                                                                      | 2014年建 |                                1室1厅 | 110.04平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_n5jQwEWn5_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,福田莲花山脚地铁口，双公园物业,1125万,低楼层                                    (共34层)                                                                      | 2001年建 |                                3室1厅 | 117.53平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/8c23d902-8613-4d11-8e7a-d8b05e1037da_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,莲花,业主诚心出售，腾指标，诚心出售，看房方便,998万,中楼层                                    (共7层)                                                                      | 2000年建 |                                4室1厅 | 114平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/210432a3-0903-4b89-95d8-fcb23b136b37_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
