20210126,福田区,八卦岭,楼层好，带电梯，通风采光极好，户型方正实用。,300万,低楼层                                    (共8层)                                                                      | 1991年建 |                                1室0厅 | 42.49平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-d263be5d-c3c3-4b9d-b517-820f9e32491e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,八卦岭,八卦岭上车盘，户型方正，正规一室一厅，满五年红本必看好房,450万,高楼层                                    (共9层)                                                                      | 1997年建 |                                1室1厅 | 36.62平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_JjBHCUXNM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,八卦岭,免增值税方正两房，精装修，高层视野好6/7号地铁口旁必看好房,580万,中楼层                                    (共33层)                                                                      | 2005年建 |                                2室1厅 | 45.98平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_VfUDUxrFU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,八卦岭,房子红本在手满五年，税费少 交易流程快！,560万,高楼层                                    (共33层)                                                                      | 2005年建 |                                1室1厅 | 46.26平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_RyrOoQoXT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,八卦岭,此房满五年唯一，税费很低，值得购买。必看好房,380万,中楼层                                    (共8层)                                                                      | 1992年建 |                                1室1厅 | 31.48平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_BpK7XXwjA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,八卦岭,此房满两年，精装修，采光通风好，小区环境很好,630万,中楼层                                    (共27层)                                                                      | 2007年建 |                                1室1厅 | 48.6平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_lDEabT7Ln_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,八卦岭,双地铁口，旁边荔园在建，诚心出售，价格靠谱,550万,低楼层                                    (共8层)                                                                      | 1995年建 |                                1室0厅 | 36.77平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_3zIRCAozO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,八卦岭,满五唯一红本在手 业主诚心出售必看好房,545万,中楼层                                    (共33层)                                                                      | 2005年建 |                                1室1厅 | 32.56平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_Iy098fLNG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,八卦岭,城市主场 1室1厅 西北,570万,高楼层                                    (共33层)                                                                      | 2005年建 |                                1室1厅 | 46.26平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_gCNfalpQ3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,八卦岭,封闭式社区，小高层电梯房，双地铁,385万,低楼层                                    (共10层)                                                                      | 2002年建 |                                1室0厅 | 30.42平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_qhVnmiTt1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,八卦岭,新装修盛世鹏程方正3房，满五唯一红本在手，诚心出售,1650万,中楼层                                    (共32层)                                                                      | 2005年建 |                                3室1厅 | 136.91平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Nw9eSquOL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
